Q #,Scenario,,Question,,,Options,,,,,Correct Answer,,,,,,,,,,,Rationale,,,,,HIPAA Section,Workforce Group,,HIPAA Rule,,,,,,,HIPAA Topic Name,,,,,,,,,Description of Topic (OCR Audited Focus),,,,,
37,Scenario: Restriction Request: Mr. Davis pays for a procedure entirely out-of-pocket. He submits a request asking the Billing Department not to disclose any PHI related to this service to his health plan for payment or operations.,,"If the organization agrees, this agreement is effective in preventing disclosure for payment or operations, but does NOT restrict disclosures that are permitted or required under:",,,"A. Disclosures for TPO (Treatment, Payment, Operations).B. Disclosures to the Secretary for compliance investigations.C. Uses for payment processing.D. Uses for health care operations.",,,,,B. Disclosures to the Secretary for compliance investigations.,,,,,,,,,,,A restriction is not effective to prevent uses or disclosures permitted or required under sections such as § 164.502(a)(2)(ii) (disclosure to the Secretary).,,,,,§ 164.522 (a)(1)(v),"Admin and Billing Staff, Management",,Privacy Rule,,,,,,,Right to request restrictions,,,,,,,,,Right to request restrictions on uses/disclosures and mandatory restriction for selfpaid services with health plans.,,,,,
38,Scenario: Restriction Request: Mr. Davis pays for a procedure entirely out-of-pocket. He submits a request asking the Billing Department not to disclose any PHI related to this service to his health plan for payment or operations.,,"If Mr. Davis had not paid the service in full out-of-pocket, the organization’s obligation regarding the restriction request would be to:",,,"A. Automatically deny the request.B. Agree to the restriction only if it benefits the provider’s operations.C. Permit the individual to request the restriction, but the entity is not required to agree.D. Permit the request but only for 30 days.",,,,,"C. Permit the individual to request the restriction, but the entity is not required to agree.",,,,,,,,,,,"The covered entity must permit an individual to request a restriction, but except for the “paid in full” exception, the entity is not required to agree.",,,,,§ 164.522 (a)(1)(ii),"Admin and Billing Staff, Clinical",,Privacy Rule,,,,,,,Right to request restrictions,,,,,,,,,Right to request restrictions on uses/disclosures and mandatory restriction for selfpaid services with health plans.,,,,,
39,Scenario: Restriction Request: Mr. Davis pays for a procedure entirely out-of-pocket. He submits a request asking the Billing Department not to disclose any PHI related to this service to his health plan for payment or operations.,,"If the organization agrees to the restriction, this agreement must be documented in accordance with which administrative requirement?",,,A. Sanction Policy.B. Documentation and Retention (§ 164.530(j)).C. Evaluation standard.D. Security Management Process.,,,,,B. Documentation and Retention (§ 164.530(j)).,,,,,,,,,,,A covered entity must document a restriction in accordance with § 164.530(j).,,,,,§ 164.522 (a)(3),"Admin and Billing Staff, Management",,Privacy Rule,,,,,,,Right to request restrictions,,,,,,,,,Right to request restrictions on uses/disclosures and mandatory restriction for selfpaid services with health plans.,,,,,
40,Scenario: Restriction Request: Mr. Davis pays for a procedure entirely out-of-pocket. He submits a request asking the Billing Department not to disclose any PHI related to this service to his health plan for payment or operations.,,"The department later agrees to terminate the restriction because Mr. Davis orally requested it. To finalize the termination, the department must ensure that the oral agreement is:",,,A. Documented.B. Certified by the Privacy Official.C. Communicated to the health plan.D. Agreed to in writing by the Privacy Official.,,,,,A. Documented.,,,,,,,,,,,An entity may terminate a restriction if the individual orally agrees to the termination and the oral agreement is documented.,,,,,§ 164.522 (a)(2)(ii),"Admin and Billing Staff, Clinical",,Privacy Rule,,,,,,,Right to request restrictions,,,,,,,,,Right to request restrictions on uses/disclosures and mandatory restriction for selfpaid services with health plans.,,,,,
41,Scenario: Accounting of Disclosures: Ms. Elena requests a formal accounting of all disclosures of her PHI made by the clinic over the last seven years. The request is submitted on 1 October 2024.,,The maximum time period covered by the accounting must go back to:,,,"A. 1 October 2023 (1 year).B. 1 October 2018 (6 years).C. 1 October 2017 (7 years, as requested).D. The compliance date for the covered entity.",,,,,B. 1 October 2018 (6 years).,,,,,,,,,,,An individual has a right to receive an accounting of disclosures made by a covered entity in the six years prior to the request date.,,,,,§ 164.528 (a)(1),"Admin and Billing Staff, Clinical, All Staff",,Privacy Rule,,,,,,,Accounting of disclosures,,,,,,,,,"Right to an accounting, required elements, time frames, exclusions, and documentation.",,,,,
42,Scenario: Accounting of Disclosures: Ms. Elena requests a formal accounting of all disclosures of her PHI made by the clinic over the last seven years. The request is submitted on 1 October 2024.,,Which disclosure is explicitly excluded from the required accounting that must be provided to Ms. Elena?,,,A. Disclosures made to a public health authority.B. Disclosures made for health care operations.C. Disclosures made for health oversight activities.D. Disclosures made for research purposes without authorization.,,,,,B. Disclosures made for health care operations.,,,,,,,,,,,"Disclosures to carry out treatment, payment, and health care operations (TPO) are excluded from the accounting requirement.",,,,,§ 164.528 (a)(1)(i),"Admin and Billing Staff, Clinical, All Staff",,Privacy Rule,,,,,,,Accounting of disclosures,,,,,,,,,"Right to an accounting, required elements, time frames, exclusions, and documentation.",,,,,
43,Scenario: Accounting of Disclosures: Ms. Elena requests a formal accounting of all disclosures of her PHI made by the clinic over the last seven years. The request is submitted on 1 October 2024.,,The organization must act on Ms. Elena’s request for an accounting no later than:,,,A. 30 days.B. 60 days.C. 90 days.D. 180 days.,,,,,B. 60 days.,,,,,,,,,,,The covered entity must act on the request for an accounting no later than 60 days after receipt of the request.,,,,,§ 164.528 (c)(1),"Admin and Billing Staff, Clinical",,Privacy Rule,,,,,,,Accounting of disclosures,,,,,,,,,"Right to an accounting, required elements, time frames, exclusions, and documentation.",,,,,
44,Scenario: Accounting of Disclosures: Ms. Elena requests a formal accounting of all disclosures of her PHI made by the clinic over the last seven years. The request is submitted on 1 October 2024.,,"If the organization made multiple routine disclosures to the same health oversight agency during the period, it may satisfy the accounting requirement by providing:",,,"A. The full details of every disclosure made.B. A single entry for the first disclosure, the frequency, and the date of the last disclosure.C. Only a verbal summary.D. Only the disclosure date of the first instance.",,,,,"B. A single entry for the first disclosure, the frequency, and the date of the last disclosure.",,,,,,,,,,,"For multiple disclosures to the same person/entity for a single purpose, the accounting may provide frequency and date of last disclosure.",,,,,§ 164.528 (b)(3),Admin and Billing Staff,,Privacy Rule,,,,,,,Accounting of disclosures,,,,,,,,,"Right to an accounting, required elements, time frames, exclusions, and documentation.",,,,,
45,Scenario: Accounting of Disclosures: Ms. Elena requests a formal accounting of all disclosures of her PHI made by the clinic over the last seven years. The request is submitted on 1 October 2024.,,"If the organization denies Ms. Elena access based on reviewable grounds (e.g., safety), she retains the right to an accounting of disclosures because:",,,A. The right to access is always subject to the right to an accounting.B. The right to an accounting applies except where limited by § 164.512.C. The denial of access on reviewable grounds constitutes a breach.D. The right to an accounting is not subject to the Minimum Necessary rule.,,,,,B. The right to an accounting applies except where limited by § 164.512.,,,,,,,,,,,An agreed-upon restriction or denial of access is not effective to prevent uses or disclosures permitted or required under § 164.528 (accounting).,,,,,§ 164.522 (a)(1)(v),"Admin and Billing Staff, Clinical",,Privacy Rule,,,,,,,Accounting of disclosures,,,,,,,,,"Right to an accounting, required elements, time frames, exclusions, and documentation.",,,,,
46,Scenario: Device Reuse and Administrative Functions: IT is preparing to reuse several old hard drives used by the billing department by wiping them and deploying them to non-PHI related operational staff.,,The required procedure for the re-use of electronic media involves implementing procedures for:,,,A. Encrypting the PHI prior to removal.B. Removal of ePHI from the media before the media are made available for re-use.C. Retaining the records for 6 years from the date of the last use.D. Documenting the transfer of ownership.,,,,,B. Removal of ePHI from the media before the media are made available for re-use.,,,,,,,,,,,Media Re-use requires implementing procedures for the removal of ePHI from electronic media before the media are made available for re-use.,,,,,§ 164.310 (d)(2)(ii),"Admin and Billing Staff, IT, All Staff",,Security Rule,,,,,,,Device and media controls,,,,,,,,,"Receipt, movement, reuse, backup, and disposal of hardware and electronic media containing ePHI.",,,,,
